Brand,Model,Car_Type,Year,Age_Years,Transmission,Fuel_Type,No_of_Owners,KM_Driven,Price_USD
BMW,4 Series,Coupe,2025,1,CVT,Petrol,1,23575,41980
Hyundai,Tucson,SUV,2024,2,Automatic,Hybrid,1,23778,23050
Lexus,RX,SUV,2021,5,Automatic,Hybrid,2,113050,23240
Nissan,Sentra,Sedan,2020,6,Manual,Hybrid,1,82209,10340
Ford,Mustang Convertible,Convertible,2025,1,Automatic,Petrol,1,15893,31690
Toyota,Tacoma,Truck,2021,5,Semi-Automatic,Diesel,2,71951,16020
Fiat,500,Hatchback,2018,8,Automatic,Petrol,1,95401,7220
BMW,X5,SUV,2016,10,Automatic,Diesel,4,101601,17570
Ford,Mustang Convertible,Convertible,2024,2,Automatic,Petrol,1,32022,28590
Honda,Fit,Hatchback,2026,0,Automatic,Diesel,1,500,15580
Tesla,Model S,Sedan,2014,12,Automatic,Electric,3,143419,15640
Land Rover,Range Rover Evoque,SUV,2020,6,Automatic,Petrol,3,144662,20020
Honda,Odyssey,Minivan,2023,3,CVT,Petrol,2,58130,21000
Mazda,CX-9,SUV,2021,5,Automatic,Petrol,2,124783,16380
Chevrolet,Bolt EV,Hatchback,2025,1,Automatic,Electric,1,20932,21320
Mercedes-Benz,C-Class,Sedan,2021,5,Automatic,Petrol,2,120623,21750
Mercedes-Benz,C-Class Coupe,Coupe,2013,13,CVT,Petrol,1,253255,8940
Chevrolet,Bolt EV,Hatchback,2019,7,Automatic,Electric,3,78728,10560
Nissan,Altima,Sedan,2019,7,Automatic,Petrol,2,167400,8730
Kia,EV6,SUV,2024,2,Automatic,Electric,1,24118,30440
BMW,5 Series,Sedan,2019,7,Automatic,Petrol,1,50460,23940
Honda,Insight,Sedan,2021,5,Manual,Petrol,1,91814,11230
Honda,Pilot,SUV,2013,13,Automatic,CNG,3,153464,7480
Ford,Explorer,SUV,2011,15,Automatic,Petrol,3,175219,7260
Mini,Cooper Convertible,Convertible,2020,6,Automatic,Diesel,2,144092,11910
Volkswagen,Golf,Hatchback,2019,7,Manual,Petrol,3,139760,8860
Nissan,Sentra,Sedan,2020,6,Automatic,Petrol,3,83211,8850
Honda,Odyssey,Minivan,2021,5,Semi-Automatic,Petrol,2,73046,18920
Mazda,MX-5 Miata,Convertible,2021,5,CVT,Hybrid,1,72424,16620
Nissan,Leaf,Hatchback,2022,4,Automatic,Electric,2,37683,15900
Volvo,XC60,SUV,2022,4,Manual,Petrol,1,62171,25800
Toyota,Tundra,Truck,2015,11,CVT,Petrol,3,123108,11300
Subaru,Legacy,Sedan,2024,2,CVT,Petrol,1,35567,17820
Porsche,911,Coupe,2025,1,Automatic,Petrol,1,21312,86310
Kia,Sportage,SUV,2025,1,CVT,Hybrid,1,20719,22150
Chevrolet,Malibu,Sedan,2025,1,CVT,Hybrid,1,17306,19960
Ford,Fusion,Sedan,2017,9,Automatic,Diesel,2,173876,6600
GMC,Terrain,SUV,2024,2,CVT,Petrol,1,37021,20380
Nissan,Rogue,SUV,2024,2,Automatic,Petrol,1,19474,21260
Nissan,Murano,SUV,2021,5,Automatic,Petrol,1,112792,17400
Honda,Civic,Sedan,2022,4,Automatic,Petrol,1,76441,13920
Kia,Forte,Sedan,2020,6,Manual,Petrol,3,105322,8100
Mazda,Mazda3,Sedan,2019,7,Automatic,Diesel,3,91487,8900
Subaru,Forester,SUV,2023,3,Manual,Petrol,2,44026,15690
Tesla,Model S,Sedan,2022,4,Automatic,Electric,2,74952,38510
Chevrolet,Malibu,Sedan,2014,12,CVT,Petrol,4,261952,1200
Lexus,NX,SUV,2021,5,Automatic,Petrol,1,67148,21400
Hyundai,Tucson,SUV,2020,6,CVT,CNG,3,98657,10280
Suzuki,Swift,Hatchback,2022,4,Automatic,Diesel,1,31429,9320
Honda,Civic,Sedan,2022,4,Automatic,Petrol,2,45697,13760
Volkswagen,Jetta,Sedan,2018,8,Automatic,Hybrid,1,107369,8670
Suzuki,Swift,Hatchback,2022,4,Automatic,Petrol,1,55382,8590
Chevrolet,Traverse,SUV,2024,2,Automatic,CNG,1,42253,25140
Hyundai,Santa Fe,SUV,2019,7,Automatic,Petrol,3,120275,13120
Hyundai,Santa Fe,SUV,2016,10,CVT,Petrol,4,178729,7580
Toyota,RAV4,SUV,2021,5,CVT,Hybrid,2,63584,15920
Chevrolet,Traverse,SUV,2023,3,Manual,Hybrid,1,32666,25440
Honda,Pilot,SUV,2017,9,CVT,Diesel,2,73377,13710
Kia,K5,Sedan,2021,5,Manual,Petrol,2,107666,10230
Ram,1500,Truck,2021,5,Automatic,Petrol,2,95292,19170
Nissan,Altima,Sedan,2025,1,CVT,Petrol,1,15854,21580
Ford,Mustang Mach-E,SUV,2015,11,Automatic,Electric,2,135216,11340
Volkswagen,ID.4,SUV,2012,14,Automatic,Electric,1,150340,7900
Mercedes-Benz,GLC,SUV,2015,11,Automatic,Petrol,4,129264,12090
Kia,Forte,Sedan,2022,4,Automatic,Petrol,2,76341,10470
Volvo,XC60,SUV,2023,3,CVT,Petrol,2,36477,29170
Toyota,Highlander,SUV,2018,8,CVT,Petrol,3,102763,12780
Renault,Clio,Hatchback,2014,12,Automatic,Petrol,4,186680,4100
BMW,X3,SUV,2016,10,CVT,Diesel,1,211837,10700
Lexus,ES,Sedan,2017,9,Manual,Diesel,2,96765,14120
Ford,F-150,Truck,2021,5,Manual,Petrol,1,77333,18310
Lexus,NX,SUV,2023,3,Automatic,CNG,2,40759,25270
Kia,EV6,SUV,2020,6,Automatic,Electric,2,61795,18820
Ford,Mustang Convertible,Convertible,2021,5,Automatic,Petrol,2,66478,20790
Jeep,Compass,SUV,2023,3,Automatic,Petrol,1,24511,18980
Toyota,Sienna,Minivan,2015,11,Automatic,Petrol,4,130279,8930
Volkswagen,Jetta,Sedan,2024,2,Automatic,Petrol,1,16980,15880
Toyota,Sienna,Minivan,2017,9,Automatic,Petrol,4,85888,11490
Hyundai,Tucson,SUV,2020,6,Automatic,Hybrid,1,65410,14670
BMW,X3,SUV,2026,0,Automatic,Diesel,1,500,43710
Kia,Forte,Sedan,2020,6,Manual,Petrol,3,88785,9010
Audi,A6,Sedan,2012,14,Manual,Diesel,4,278930,7640
Chevrolet,Spark,Hatchback,2016,10,Manual,Petrol,3,195041,1310
BMW,Z4,Convertible,2016,10,Automatic,Petrol,1,160330,16950
Mazda,MX-5 Miata,Convertible,2022,4,Semi-Automatic,Petrol,1,57718,17980
Porsche,911,Coupe,2011,15,Automatic,Petrol,2,192820,19250
GMC,Acadia,SUV,2022,4,Automatic,Diesel,2,49072,19910
Toyota,Sienna,Minivan,2020,6,Automatic,Hybrid,2,105429,18600
Ford,Mustang,Coupe,2025,1,Automatic,Diesel,1,17652,26100
Ford,Escape,SUV,2020,6,Manual,Petrol,3,66603,11250
Lexus,ES,Sedan,2020,6,Automatic,Petrol,2,122310,19170
Volkswagen,Tiguan,SUV,2025,1,Automatic,Petrol,1,18056,24830
Peugeot,208,Hatchback,2021,5,Manual,Petrol,2,120452,7540
Toyota,Sienna,Minivan,2012,14,Automatic,Petrol,2,161680,7450
Land Rover,Range Rover Evoque,SUV,2025,1,CVT,Petrol,1,23496,41400
Kia,K5,Sedan,2025,1,Automatic,Petrol,1,14431,20730
Lexus,ES,Sedan,2021,5,Automatic,Diesel,1,92040,22690
Volkswagen,Golf,Hatchback,2016,10,CVT,Petrol,1,130269,7520
Audi,Q5,SUV,2020,6,Manual,Petrol,3,72326,20770
Lexus,RX,SUV,2025,1,CVT,Petrol,1,19614,38930
Ram,1500,Truck,2023,3,Manual,Petrol,1,61480,22100
Kia,Sportage,SUV,2022,4,Automatic,Petrol,1,58445,17560
Ford,Fusion,Sedan,2025,1,Automatic,Diesel,1,11502,18410
Chevrolet,Equinox,SUV,2013,13,Automatic,Hybrid,2,314292,1200
BMW,X5,SUV,2021,5,CVT,Petrol,1,97410,31630
Hyundai,Elantra,Sedan,2017,9,Automatic,Petrol,4,66288,6900
Nissan,Murano,SUV,2022,4,Automatic,Diesel,1,43165,20580
Tesla,Model Y,SUV,2019,7,Automatic,Electric,1,49383,19260
Nissan,Murano,SUV,2021,5,Automatic,Diesel,1,33701,18280
GMC,Acadia,SUV,2014,12,Automatic,Hybrid,3,180258,8250
Tesla,Model S,Sedan,2021,5,Automatic,Electric,2,43618,36340
Renault,Clio,Hatchback,2019,7,Manual,Diesel,1,88523,8000
Ford,Focus,Hatchback,2024,2,Automatic,Diesel,1,24323,14030
Honda,Accord,Sedan,2022,4,Automatic,Petrol,1,65947,17240
Hyundai,Sonata,Sedan,2011,15,Automatic,Petrol,4,188670,4080
Nissan,Rogue,SUV,2017,9,Manual,Hybrid,3,106587,9020
Nissan,Versa,Hatchback,2019,7,Manual,Diesel,2,76838,6170
Chevrolet,Malibu,Sedan,2016,10,Automatic,Petrol,4,245493,2490
Audi,A5,Coupe,2019,7,CVT,Petrol,3,76080,18910
BMW,3 Series,Sedan,2023,3,Manual,Petrol,1,50323,27350
Audi,A5,Coupe,2024,2,Manual,Petrol,1,36331,31570
Fiat,500,Hatchback,2015,11,Manual,Petrol,1,139811,4740
Audi,A6,Sedan,2014,12,CVT,Petrol,1,219880,12940
Chevrolet,Spark,Hatchback,2020,6,Automatic,Hybrid,1,100065,7110
Toyota,Prius Prime,Hatchback,2024,2,Automatic,Diesel,1,29948,19910
Honda,CR-V,SUV,2024,2,Manual,Petrol,1,36636,19920
BMW,3 Series,Sedan,2026,0,CVT,Petrol,1,500,43430
Toyota,Corolla,Sedan,2023,3,Automatic,Petrol,1,30827,15970
Chevrolet,Camaro Convertible,Convertible,2015,11,Automatic,Petrol,3,111432,10420
GMC,Acadia,SUV,2015,11,Manual,Petrol,2,218767,6970
Mercedes-Benz,GLE,SUV,2020,6,Automatic,Diesel,1,143733,26210
Chevrolet,Bolt EV,Hatchback,2024,2,Automatic,Electric,1,33470,17100
Ford,Fusion,Sedan,2025,1,Automatic,Petrol,1,13883,18170
Toyota,Yaris,Sedan,2022,4,Automatic,Petrol,1,38769,9880
Fiat,500,Hatchback,2018,8,Manual,Petrol,3,120629,6040
Honda,Insight,Sedan,2013,13,Automatic,Hybrid,5,175221,4610
Ford,Fusion,Sedan,2026,0,Automatic,Diesel,1,500,21910
Ford,Focus,Hatchback,2023,3,Automatic,Petrol,1,31659,14520
Honda,Fit,Hatchback,2026,0,Automatic,Petrol,1,500,17590
Mini,Cooper Convertible,Convertible,2023,3,Automatic,Petrol,2,56098,20370
Nissan,Titan,Truck,2023,3,Automatic,Petrol,1,44882,25370
Honda,Ridgeline,Truck,2019,7,Automatic,Petrol,2,67127,17390
Nissan,Versa,Hatchback,2021,5,Automatic,Diesel,1,104346,6950
Honda,City,Sedan,2021,5,Automatic,Petrol,2,59084,9440
GMC,Acadia,SUV,2017,9,Automatic,Petrol,2,166430,10370
Lexus,IS,Sedan,2011,15,Automatic,CNG,4,330623,1290
Toyota,RAV4,SUV,2022,4,Automatic,Petrol,2,67695,17190
Ford,Mustang Convertible,Convertible,2022,4,CVT,Diesel,2,49083,21510
Volvo,XC60,SUV,2024,2,Automatic,Petrol,1,24347,35750
Honda,CR-V,SUV,2013,13,CVT,Hybrid,4,216957,5260
Lexus,ES,Sedan,2020,6,Automatic,Hybrid,1,112608,19330
Toyota,Camry,Sedan,2023,3,CVT,Petrol,1,27426,18640
Ford,F-150,Truck,2026,0,Manual,Hybrid,1,500,33150
Tesla,Model 3,Sedan,2022,4,Automatic,Electric,1,27561,23510
Tesla,Model 3,Sedan,2017,9,Automatic,Electric,1,109066,13300
Chevrolet,Camaro,Coupe,2011,15,Automatic,Diesel,1,135897,5450
Audi,A4,Sedan,2019,7,CVT,Petrol,2,137089,15430
Toyota,Yaris,Sedan,2020,6,Manual,Hybrid,2,37638,7630
Nissan,Altima,Sedan,2026,0,CVT,Petrol,1,500,23030
Mercedes-Benz,E-Class,Sedan,2017,9,Automatic,Petrol,3,141824,16770
Mazda,MX-5 Miata,Convertible,2022,4,Automatic,CNG,1,61958,16250
Honda,Civic,Sedan,2021,5,Manual,Petrol,1,87357,11710
Volkswagen,Jetta,Sedan,2023,3,Automatic,Diesel,1,21489,14500
Peugeot,208,Hatchback,2014,12,Automatic,Petrol,4,126866,4640
Land Rover,Range Rover Sport,SUV,2025,1,Automatic,Petrol,1,19108,65220
Mini,Cooper Convertible,Convertible,2015,11,CVT,Petrol,2,123744,8270
Volkswagen,Atlas,SUV,2023,3,Automatic,Petrol,2,28432,24530
GMC,Terrain,SUV,2024,2,Automatic,Petrol,1,33656,21370
Toyota,Highlander,SUV,2020,6,Manual,Diesel,2,102059,17040
Peugeot,208,Hatchback,2021,5,Manual,Petrol,1,51864,10680
Skoda,Octavia,Sedan,2019,7,Automatic,Petrol,3,76900,10700
Tesla,Model S,Sedan,2017,9,Automatic,Electric,4,105011,21560
Hyundai,Tucson,SUV,2021,5,Semi-Automatic,Petrol,2,99593,12830
Nissan,Murano,SUV,2020,6,CVT,Diesel,1,48888,16480
Lexus,RX,SUV,2022,4,Manual,CNG,2,74124,24620
Mercedes-Benz,GLC,SUV,2023,3,Manual,Petrol,2,48602,28060
Honda,Civic,Sedan,2015,11,Automatic,Petrol,1,152897,6540
Honda,City,Sedan,2025,1,Automatic,Petrol,1,10509,15160
Toyota,Tundra,Truck,2015,11,CVT,Petrol,2,168139,9890
Chrysler,Pacifica,Minivan,2020,6,Automatic,Petrol,2,95321,16040
Toyota,Camry,Sedan,2018,8,Automatic,Diesel,1,152231,8530
Subaru,Legacy,Sedan,2021,5,CVT,Petrol,2,84764,12580
Chevrolet,Silverado 1500,Truck,2017,9,Manual,Petrol,1,125489,11720
BMW,5 Series,Sedan,2024,2,Automatic,Petrol,1,27015,44570
Audi,A6,Sedan,2024,2,Automatic,Petrol,1,40012,41340
Lexus,IS,Sedan,2021,5,Semi-Automatic,Diesel,2,67055,19560
Lexus,RX,SUV,2023,3,Manual,Petrol,2,28600,30730
Volkswagen,Atlas,SUV,2025,1,Automatic,Petrol,1,18036,29190
Hyundai,Tucson,SUV,2018,8,CVT,Hybrid,2,93231,10430
Hyundai,Ioniq 5,SUV,2018,8,Automatic,Electric,1,107666,16200
Hyundai,Tucson,SUV,2024,2,Automatic,Hybrid,1,37722,20840
BMW,4 Series,Coupe,2014,12,Automatic,Petrol,5,272235,8490
Hyundai,Sonata,Sedan,2016,10,Automatic,Hybrid,2,90988,8050
BMW,5 Series,Sedan,2022,4,Automatic,Petrol,2,48590,34140
Toyota,GR86,Coupe,2014,12,Automatic,Hybrid,3,239362,4330
Toyota,Tacoma,Truck,2025,1,Automatic,Petrol,1,10754,26670
Honda,CR-V,SUV,2018,8,CVT,Petrol,3,88558,9800
Chevrolet,Bolt EV,Hatchback,2021,5,Automatic,Electric,2,64595,12400
Toyota,Prius,Hatchback,2023,3,Manual,Hybrid,2,54757,17200
BMW,Z4,Convertible,2019,7,Manual,Petrol,1,52612,21720
Toyota,Corolla,Sedan,2012,14,CVT,Diesel,4,228726,3170
Mazda,Mazda6,Sedan,2024,2,CVT,Petrol,1,36665,18790
Audi,A4,Sedan,2020,6,Manual,Petrol,1,125365,18970
BMW,3 Series,Sedan,2022,4,Automatic,Diesel,2,35478,25450
GMC,Terrain,SUV,2014,12,Automatic,Diesel,1,247791,4840
Mazda,MX-5 Miata,Convertible,2018,8,Manual,Petrol,1,79752,10860
Toyota,Corolla,Sedan,2024,2,CVT,CNG,1,29849,15750
Honda,Accord,Sedan,2024,2,Automatic,Petrol,1,35698,21930
Hyundai,Tucson,SUV,2020,6,Automatic,Petrol,2,39472,12720
Toyota,RAV4,SUV,2017,9,Manual,Hybrid,1,106120,10110
Hyundai,Santa Fe,SUV,2025,1,Manual,Petrol,1,12029,27480
Mercedes-Benz,GLC,SUV,2023,3,CVT,Petrol,2,38203,30720
Honda,Civic,Sedan,2021,5,Automatic,Petrol,2,89339,11640
Volkswagen,Atlas,SUV,2024,2,Automatic,Diesel,1,42921,24480
Chevrolet,Bolt EV,Hatchback,2023,3,Automatic,Electric,2,52126,14580
Chrysler,Pacifica,Minivan,2022,4,Manual,Hybrid,2,62534,20370
Chevrolet,Malibu,Sedan,2024,2,CVT,Petrol,1,25543,18860
Toyota,RAV4,SUV,2022,4,Automatic,Hybrid,2,51268,18290
Volkswagen,Atlas,SUV,2018,8,Manual,CNG,3,110596,11520
Honda,Pilot,SUV,2026,0,Manual,Petrol,1,500,34970
Mercedes-Benz,GLE,SUV,2013,13,Automatic,CNG,2,147540,12800
Nissan,370Z,Coupe,2018,8,Automatic,Hybrid,3,56835,13870
Hyundai,Santa Fe,SUV,2023,3,Automatic,Petrol,2,52630,20640
Ford,Focus,Hatchback,2018,8,Automatic,Petrol,3,55850,7250
Nissan,Rogue,SUV,2023,3,Automatic,Petrol,1,37362,19560
Toyota,Yaris,Sedan,2025,1,Automatic,Diesel,1,18021,13670
Audi,A6,Sedan,2021,5,Automatic,Petrol,1,34219,28790
Mini,Cooper Convertible,Convertible,2017,9,Automatic,CNG,3,201080,8140
Kia,K5,Sedan,2015,11,Automatic,Petrol,4,132645,5840
Subaru,Outback,SUV,2022,4,CVT,Petrol,2,52404,18030
Mini,Cooper,Hatchback,2025,1,CVT,Petrol,1,16105,20270
Chevrolet,Equinox,SUV,2016,10,Automatic,Petrol,2,197911,5840
Nissan,Rogue,SUV,2020,6,Automatic,Diesel,2,59235,14010
Mini,Cooper Convertible,Convertible,2021,5,CVT,Petrol,2,122019,13570
Suzuki,Swift,Hatchback,2018,8,Manual,Petrol,1,170024,3960
Audi,A6,Sedan,2017,9,Automatic,Petrol,3,106759,18340
Lexus,RX,SUV,2017,9,CVT,Hybrid,4,99716,16620
Honda,Accord,Sedan,2015,11,Automatic,Petrol,2,171537,7620
Hyundai,Sonata,Sedan,2015,11,Automatic,Hybrid,1,259542,2140
Chevrolet,Traverse,SUV,2023,3,Automatic,Petrol,1,48583,23790
BMW,4 Series,Coupe,2015,11,Manual,CNG,3,134978,12150
Ford,Fusion,Sedan,2019,7,Automatic,Petrol,3,129988,8240
Kia,Carnival,Minivan,2020,6,Automatic,CNG,2,75703,13960
Toyota,Prius Prime,Hatchback,2018,8,Manual,Diesel,2,90397,10260
Mazda,Mazda6,Sedan,2022,4,Automatic,Diesel,2,102833,12920
Mazda,Mazda3,Sedan,2020,6,Manual,Diesel,3,66203,9090
Kia,Rio,Hatchback,2024,2,Automatic,Hybrid,1,14216,13220
Ford,F-150,Truck,2022,4,Manual,Hybrid,1,59420,23330
Jeep,Wrangler,SUV,2018,8,Manual,Diesel,2,109040,12310
Volkswagen,Tiguan,SUV,2022,4,Automatic,Petrol,2,79481,15370
Toyota,Tacoma,Truck,2017,9,Automatic,Petrol,3,155013,8850
Chevrolet,Equinox,SUV,2022,4,CVT,Petrol,2,36133,15800
Mercedes-Benz,C-Class,Sedan,2025,1,Manual,Diesel,1,16658,32200
Chevrolet,Equinox,SUV,2021,5,Automatic,Diesel,2,60320,14840
Nissan,Altima,Sedan,2017,9,CVT,Petrol,2,112023,9080
Kia,Carnival,Minivan,2025,1,Automatic,Petrol,1,14116,27320
Porsche,911,Coupe,2022,4,Automatic,Hybrid,2,77491,59820
Nissan,370Z,Coupe,2022,4,Automatic,Petrol,2,44852,18920
Mazda,Mazda6,Sedan,2023,3,Automatic,Petrol,2,45409,16270
Audi,A6,Sedan,2020,6,Automatic,Petrol,3,73801,23760
Mazda,CX-5,SUV,2026,0,CVT,Hybrid,1,500,30400
Ford,Focus,Hatchback,2022,4,Semi-Automatic,Petrol,2,44668,11700
Tesla,Model Y,SUV,2021,5,Automatic,Electric,2,91257,22290
BMW,3 Series,Sedan,2020,6,Automatic,Diesel,1,84493,20520
Nissan,Murano,SUV,2017,9,Automatic,Diesel,4,100604,11080
Audi,A6,Sedan,2021,5,Automatic,CNG,2,71033,26300
Chevrolet,Equinox,SUV,2018,8,CVT,Petrol,1,164807,8200
Honda,Accord,Sedan,2019,7,Semi-Automatic,Hybrid,2,148889,10480
Kia,Carnival,Minivan,2019,7,Manual,Hybrid,2,86182,14260
Ford,Mustang,Coupe,2020,6,Manual,Petrol,1,99158,14590
GMC,Acadia,SUV,2021,5,Manual,Petrol,2,110535,17000
Ford,Mustang Mach-E,SUV,2024,2,Automatic,Electric,1,47027,31440
Chevrolet,Camaro,Coupe,2021,5,Automatic,Petrol,2,55407,17420
Lexus,NX,SUV,2019,7,Automatic,Diesel,3,127908,14530
Nissan,Leaf,Hatchback,2019,7,Automatic,Electric,3,52176,11620
Ford,Mustang Convertible,Convertible,2015,11,CVT,Hybrid,1,98027,11780
Ford,Escape,SUV,2016,10,Automatic,Petrol,4,106215,8120
Lexus,IS,Sedan,2022,4,CVT,Petrol,2,70249,21590
Lexus,RX,SUV,2024,2,Semi-Automatic,Hybrid,1,34787,38130
Toyota,Camry,Sedan,2018,8,Automatic,Petrol,3,138113,9230
Toyota,Tacoma,Truck,2021,5,Automatic,Petrol,1,35754,16310
Tesla,Model S,Sedan,2026,0,Automatic,Electric,1,500,63970
Chevrolet,Equinox,SUV,2025,1,Automatic,Petrol,1,10225,22430
Toyota,Prius Prime,Hatchback,2021,5,Semi-Automatic,Petrol,1,71668,15420
Ford,Fusion,Sedan,2021,5,Automatic,Petrol,1,73010,12220
Audi,Q5,SUV,2025,1,Automatic,Petrol,1,9969,37610
Land Rover,Range Rover Evoque,SUV,2024,2,Manual,Petrol,1,27809,35330
BMW,3 Series,Sedan,2021,5,CVT,Petrol,1,74342,24080
Tesla,Model S,Sedan,2024,2,Automatic,Electric,1,15470,54770
Toyota,Highlander,SUV,2025,1,Automatic,Hybrid,1,20646,32570
Mercedes-Benz,C-Class Coupe,Coupe,2019,7,CVT,Diesel,2,116424,18420
Nissan,Sentra,Sedan,2019,7,Automatic,Diesel,2,81030,9000
Nissan,Titan,Truck,2016,10,Automatic,Petrol,3,125857,10790
Subaru,Forester,SUV,2016,10,Automatic,Petrol,4,199703,5980
Nissan,Leaf,Hatchback,2022,4,Automatic,Electric,2,81475,14640
Honda,Civic,Sedan,2018,8,CVT,Hybrid,1,113422,8540
GMC,Sierra 1500,Truck,2019,7,Manual,Petrol,3,112987,13300
